Rank,City,Population
874,Columbia,"2,086"
875,Portola,"2,083"
876,Vista Santa Rosa,"2,072"
877,Pine Grove,"2,070"
878,Camino,"2,065"
879,Soulsbyville,"2,063"
880,Byron,"2,057"
881,Linden,"2,043"
882,San Pasqual,"2,038"
883,Bertsch-Oceanview,"2,037"
884,Colfax,"2,018"
885,Bethel Island,"2,015"
886,Pine Mountain Club,"2,011"
887,Westmorland,"2,004"
888,Patterson Tract,"2,003"
889,Bell Canyon,"1,991"
890,Santa Nella,"1,981"
891,Laton,"1,967"
892,Murphys,"1,944"
893,Biggs,"1,934"
894,Los Molinos,"1,924"
895,Toro Canyon,"1,918"
896,Temelec,"1,915"
897,Lagunitas-Forest Knolls,"1,874"
898,Mountain View,"1,872"
899,Wofford Heights,"1,870"
900,Borrego Springs,"1,864"
901,Seeley,"1,847"
902,Parklawn,"1,844"
903,Poplar-Cotton Center,"1,840"
904,Woodville,"1,836"
905,Redwood Valley,"1,812"
906,Baywood Park,"1,786"
907,Fairfax,"1,778"
908,Rancho Tehama Reserve,"1,750"
909,Graton,"1,743"
910,Lost Hills,"1,742"
911,Boronda,"1,740"
912,Saticoy,"1,739"
913,Black Point-Green Point,"1,738"
914,Dunsmuir,"1,710"
915,Quincy,"1,706"
916 ,Rolling Hills city and Hidden Hills,"1,702"
917,Lake Sherwood,"1,697"
918,Rouse,"1,684"
919,Los Ranchos,"1,675"
920,Leona Valley,"1,672"
921,Searles Valley,"1,647"
922,Shasta,"1,639"
923,Callender,"1,638"
924,Elizabeth Lake,"1,632"
925,Pine Valley,"1,611"
926,Le Grand,"1,597"
927,Home Garden,"1,590"
928,Green Valley CDP,"1,583"
929,Grayson,"1,582"
930,Del Rey Oaks,"1,579"
931,Colma,"1,577"
932,Sunnyside-Tahoe City,"1,576"
933,Red Corral,"1,557"
934,Forest Ranch,"1,551"
935,Foresthill,"1,545"
936,London,"1,534"
937,Delft Colony,"1,512"
938,Taft Heights,"1,509"
939,Inverness,"1,497"
940,Harmony Grove,"1,494"
